epoch,lr-Adam,step,train_loss,val_loss
,0.001,0,,
0,,114,,4.458052635192871
0,,114,0.47091442346572876,
,0.001,115,,
1,,229,,0.3587222695350647
1,,229,0.3211999833583832,
,0.001,230,,
2,,344,,0.26849713921546936
2,,344,0.2872145175933838,
,0.001,345,,
3,,459,,0.2725371718406677
3,,459,0.2739316523075104,
,0.001,460,,
4,,574,,0.245702862739563
4,,574,0.2603307068347931,
,0.001,575,,
5,,689,,0.25341662764549255
5,,689,0.25110357999801636,
,0.001,690,,
6,,804,,0.26497337222099304
6,,804,0.25044313073158264,
,0.001,805,,
7,,919,,0.26443812251091003
7,,919,0.24004924297332764,
,0.001,920,,
8,,1034,,0.21224431693553925
8,,1034,0.23948314785957336,
,0.001,1035,,
9,,1149,,0.22910454869270325
9,,1149,0.23059777915477753,
,0.001,1150,,
10,,1264,,0.21012626588344574
10,,1264,0.22873549163341522,
,0.001,1265,,
11,,1379,,0.2061544507741928
11,,1379,0.2231808453798294,
,0.001,1380,,
12,,1494,,0.22952944040298462
12,,1494,0.2246323972940445,
,0.001,1495,,
13,,1609,,0.20782066881656647
13,,1609,0.21996672451496124,
,0.001,1610,,
14,,1724,,0.21632061898708344
14,,1724,0.21780818700790405,
,0.001,1725,,
15,,1839,,0.23193487524986267
15,,1839,0.21428115665912628,
,0.001,1840,,
16,,1954,,0.20309102535247803
16,,1954,0.21633756160736084,
,0.001,1955,,
17,,2069,,0.19742651283740997
17,,2069,0.21190404891967773,
,0.001,2070,,
18,,2184,,0.22704245150089264
18,,2184,0.21104037761688232,
,0.001,2185,,
19,,2299,,0.18114346265792847
19,,2299,0.21183417737483978,
,0.001,2300,,
20,,2414,,0.1890302151441574
20,,2414,0.20891191065311432,
,0.001,2415,,
21,,2529,,0.19357244670391083
21,,2529,0.20166794955730438,
,0.001,2530,,
22,,2644,,0.20946533977985382
22,,2644,0.20992086827754974,
,0.001,2645,,
23,,2759,,0.1855195313692093
23,,2759,0.2067415416240692,
,0.001,2760,,
24,,2874,,0.17822889983654022
24,,2874,0.20513863861560822,
,0.001,2875,,
25,,2989,,0.21344125270843506
25,,2989,0.20065446197986603,
,0.001,2990,,
26,,3104,,0.18716324865818024
26,,3104,0.20052006840705872,
,0.001,3105,,
27,,3219,,0.19306150078773499
27,,3219,0.2006382793188095,
,0.001,3220,,
28,,3334,,0.18869900703430176
28,,3334,0.20088112354278564,
,0.001,3335,,
29,,3449,,0.17527544498443604
29,,3449,0.19655941426753998,
,0.001,3450,,
30,,3564,,0.19514010846614838
30,,3564,0.19554339349269867,
,0.001,3565,,
31,,3679,,0.1973668783903122
31,,3679,0.19514763355255127,
,0.001,3680,,
32,,3794,,0.1724892556667328
32,,3794,0.19632796943187714,
,0.001,3795,,
33,,3909,,0.1714591532945633
33,,3909,0.19622990489006042,
,0.001,3910,,
34,,4024,,0.17602206766605377
34,,4024,0.19242368638515472,
,0.001,4025,,
35,,4139,,0.17481817305088043
35,,4139,0.1947673261165619,
,0.001,4140,,
36,,4254,,0.1880418211221695
36,,4254,0.19244278967380524,
,0.001,4255,,
37,,4369,,0.17328979074954987
37,,4369,0.1826690286397934,
,0.001,4370,,
38,,4484,,0.18649327754974365
38,,4484,0.18891233205795288,
,0.001,4485,,
39,,4599,,0.16534383594989777
39,,4599,0.19469816982746124,
