epoch,lr-Adam,step,train_loss,val_loss
,0.001,0,,
0,,114,,0.3804396092891693
0,,114,0.5694233179092407,
,0.001,115,,
1,,229,,0.371538370847702
1,,229,0.4040665030479431,
,0.001,230,,
2,,344,,0.3174325227737427
2,,344,0.36939969658851624,
,0.001,345,,
3,,459,,0.31088006496429443
3,,459,0.35910025238990784,
,0.001,460,,
4,,574,,0.34886935353279114
4,,574,0.3529527187347412,
,0.001,575,,
5,,689,,0.3303985595703125
5,,689,0.34977760910987854,
,0.001,690,,
6,,804,,0.29983457922935486
6,,804,0.3261364698410034,
,0.001,805,,
7,,919,,0.2634311318397522
7,,919,0.3232562243938446,
,0.001,920,,
8,,1034,,0.29600128531455994
8,,1034,0.31827521324157715,
,0.001,1035,,
9,,1149,,0.24763663113117218
9,,1149,0.31899166107177734,
,0.001,1150,,
10,,1264,,0.3022622764110565
10,,1264,0.31529682874679565,
,0.001,1265,,
11,,1379,,0.27036476135253906
11,,1379,0.30102014541625977,
,0.001,1380,,
12,,1494,,0.22970138490200043
12,,1494,0.3054989278316498,
,0.001,1495,,
13,,1609,,0.25681257247924805
13,,1609,0.2968112826347351,
,0.001,1610,,
14,,1724,,0.2864910364151001
14,,1724,0.2972637116909027,
,0.001,1725,,
15,,1839,,0.2582951486110687
15,,1839,0.29480409622192383,
,0.001,1840,,
16,,1954,,0.31825318932533264
16,,1954,0.29362714290618896,
,0.001,1955,,
17,,2069,,0.22394122183322906
17,,2069,0.28866860270500183,
,0.001,2070,,
18,,2184,,0.2250239998102188
18,,2184,0.29135555028915405,
,0.001,2185,,
19,,2299,,0.22721029818058014
19,,2299,0.2889620065689087,
,0.001,2300,,
20,,2414,,0.24245981872081757
20,,2414,0.2836818993091583,
,0.001,2415,,
21,,2529,,0.29181161522865295
21,,2529,0.2813684344291687,
,0.001,2530,,
22,,2644,,0.21641603112220764
22,,2644,0.2733742892742157,
,0.001,2645,,
23,,2759,,0.21866914629936218
23,,2759,0.26401400566101074,
,0.001,2760,,
24,,2874,,0.24553383886814117
24,,2874,0.2543329894542694,
,0.001,2875,,
25,,2989,,0.2545151114463806
25,,2989,0.25579512119293213,
,0.001,2990,,
26,,3104,,0.2678360939025879
26,,3104,0.2557586431503296,
,0.001,3105,,
27,,3219,,0.22015772759914398
27,,3219,0.2607516944408417,
,0.001,3220,,
28,,3334,,0.2596614360809326
28,,3334,0.2549344301223755,
,0.0005,3335,,
29,,3449,,0.18950319290161133
29,,3449,0.23108519613742828,
,0.0005,3450,,
30,,3564,,0.22943806648254395
30,,3564,0.22510188817977905,
,0.0005,3565,,
31,,3679,,0.19233648478984833
31,,3679,0.2225005179643631,
,0.0005,3680,,
32,,3794,,0.2096366137266159
32,,3794,0.2180739790201187,
,0.0005,3795,,
33,,3909,,0.21459905803203583
33,,3909,0.21845512092113495,
,0.0005,3910,,
34,,4024,,0.1992432028055191
34,,4024,0.22962546348571777,
,0.0005,4025,,
35,,4139,,0.1886751800775528
35,,4139,0.21646299958229065,
,0.0005,4140,,
36,,4254,,0.19736039638519287
36,,4254,0.21869757771492004,
,0.0005,4255,,
37,,4369,,0.20899885892868042
37,,4369,0.21829651296138763,
,0.0005,4370,,
38,,4484,,0.1793074607849121
38,,4484,0.21059855818748474,
,0.0005,4485,,
39,,4599,,0.21882794797420502
39,,4599,0.21384204924106598,
,0.0005,4600,,
40,,4714,,0.19188962876796722
40,,4714,0.2196955680847168,
,0.0005,4715,,
41,,4829,,0.20050105452537537
41,,4829,0.20898203551769257,
,0.0005,4830,,
42,,4944,,0.21771210432052612
42,,4944,0.20888008177280426,
,0.0005,4945,,
43,,5059,,0.1865416020154953
43,,5059,0.20930179953575134,
,0.0005,5060,,
44,,5174,,0.1909635066986084
44,,5174,0.20483383536338806,
,0.00025,5175,,
45,,5289,,0.2030721753835678
45,,5289,0.20265895128250122,
,0.00025,5290,,
46,,5404,,0.23887501657009125
46,,5404,0.20000359416007996,
,0.00025,5405,,
47,,5519,,0.17799201607704163
47,,5519,0.1983129233121872,
,0.00025,5520,,
48,,5634,,0.1754101812839508
48,,5634,0.20014920830726624,
,0.00025,5635,,
49,,5749,,0.1779068410396576
49,,5749,0.20047293603420258,
,0.00025,5750,,
50,,5864,,0.1776151955127716
50,,5864,0.19821175932884216,
,0.00025,5865,,
51,,5979,,0.18624664843082428
51,,5979,0.19303977489471436,
,0.00025,5980,,
52,,6094,,0.18435458838939667
52,,6094,0.19670528173446655,
,0.00025,6095,,
53,,6209,,0.17820079624652863
53,,6209,0.19461321830749512,
,0.00025,6210,,
54,,6324,,0.1751144528388977
54,,6324,0.19281215965747833,
,0.00025,6325,,
55,,6439,,0.17689348757266998
55,,6439,0.19290512800216675,
,0.00025,6440,,
56,,6554,,0.19367319345474243
56,,6554,0.19908899068832397,
,0.00025,6555,,
57,,6669,,0.17212291061878204
57,,6669,0.19178372621536255,
,0.00025,6670,,
58,,6784,,0.17073678970336914
58,,6784,0.1972154825925827,
,0.00025,6785,,
59,,6899,,0.19030854105949402
59,,6899,0.1943042278289795,
,0.00025,6900,,
60,,7014,,0.18513990938663483
60,,7014,0.19455282390117645,
,0.00025,7015,,
61,,7129,,0.17914247512817383
61,,7129,0.18861225247383118,
,0.00025,7130,,
62,,7244,,0.17045189440250397
62,,7244,0.19516941905021667,
,0.00025,7245,,
63,,7359,,0.17909711599349976
63,,7359,0.18860097229480743,
,0.00025,7360,,
64,,7474,,0.18642686307430267
64,,7474,0.1886707842350006,
,0.00025,7475,,
65,,7589,,0.17799177765846252
65,,7589,0.19174505770206451,
,0.00025,7590,,
66,,7704,,0.17158739268779755
66,,7704,0.18875667452812195,
,0.00025,7705,,
67,,7819,,0.17612141370773315
67,,7819,0.18907272815704346,
,0.00025,7820,,
68,,7934,,0.17526093125343323
68,,7934,0.1893128603696823,
,0.000125,7935,,
69,,8049,,0.1638912707567215
69,,8049,0.18611976504325867,
,0.000125,8050,,
70,,8164,,0.17110469937324524
70,,8164,0.18402807414531708,
,0.000125,8165,,
71,,8279,,0.17118175327777863
71,,8279,0.18385465443134308,
,0.000125,8280,,
72,,8394,,0.16305352747440338
72,,8394,0.18307460844516754,
,0.000125,8395,,
73,,8509,,0.19675421714782715
73,,8509,0.1829356849193573,
,0.000125,8510,,
74,,8624,,0.16173987090587616
74,,8624,0.18436001241207123,
,0.000125,8625,,
75,,8739,,0.1703469604253769
75,,8739,0.1804971545934677,
,0.000125,8740,,
76,,8854,,0.17381060123443604
76,,8854,0.17856936156749725,
,0.000125,8855,,
77,,8969,,0.1636579930782318
77,,8969,0.18024523556232452,
,0.000125,8970,,
78,,9084,,0.16586585342884064
78,,9084,0.1814231276512146,
,0.000125,9085,,
79,,9199,,0.16729173064231873
79,,9199,0.18468132615089417,
,0.000125,9200,,
80,,9314,,0.16066791117191315
80,,9314,0.17978821694850922,
,0.000125,9315,,
81,,9429,,0.1632293462753296
81,,9429,0.18161845207214355,
,0.000125,9430,,
82,,9544,,0.17616963386535645
82,,9544,0.18087808787822723,
,0.000125,9545,,
83,,9659,,0.15900425612926483
83,,9659,0.18000565469264984,
,0.000125,9660,,
84,,9774,,0.16412532329559326
84,,9774,0.18157336115837097,
,0.000125,9775,,
85,,9889,,0.16475345194339752
85,,9889,0.18096090853214264,
,0.000125,9890,,
86,,10004,,0.16658246517181396
86,,10004,0.17838983237743378,
,0.000125,10005,,
87,,10119,,0.15897080302238464
87,,10119,0.18118730187416077,
,0.000125,10120,,
88,,10234,,0.16209624707698822
88,,10234,0.18022723495960236,
,0.000125,10235,,
89,,10349,,0.16189317405223846
89,,10349,0.17782409489154816,
,0.000125,10350,,
90,,10464,,0.16335439682006836
90,,10464,0.17813119292259216,
,0.000125,10465,,
91,,10579,,0.18618175387382507
91,,10579,0.1783028542995453,
,0.000125,10580,,
92,,10694,,0.16710560023784637
92,,10694,0.17626385390758514,
,0.000125,10695,,
93,,10809,,0.16194210946559906
93,,10809,0.17556044459342957,
,6.25e-05,10810,,
94,,10924,,0.16316527128219604
94,,10924,0.17476269602775574,
,6.25e-05,10925,,
95,,11039,,0.15799054503440857
95,,11039,0.17620231211185455,
,6.25e-05,11040,,
96,,11154,,0.16024497151374817
96,,11154,0.17561227083206177,
,6.25e-05,11155,,
97,,11269,,0.1586086004972458
97,,11269,0.17484770715236664,
,6.25e-05,11270,,
98,,11384,,0.16396041214466095
98,,11384,0.17753399908542633,
,6.25e-05,11385,,
99,,11499,,0.16748344898223877
99,,11499,0.1751786768436432,
