epoch,lr-Adam,step,train_loss,val_loss
,0.001,0,,
0,,114,,1.336214542388916
0,,114,0.4780502915382385,
,0.001,115,,
1,,229,,0.31907883286476135
1,,229,0.3408375084400177,
,0.001,230,,
2,,344,,0.3141762912273407
2,,344,0.31265050172805786,
,0.001,345,,
3,,459,,0.2762284576892853
3,,459,0.2989223301410675,
,0.001,460,,
4,,574,,0.2980325520038605
4,,574,0.28861966729164124,
,0.001,575,,
5,,689,,0.26372820138931274
5,,689,0.27542969584465027,
,0.001,690,,
6,,804,,0.2633354067802429
6,,804,0.2741999328136444,
,0.001,805,,
7,,919,,0.2931424379348755
7,,919,0.2678479254245758,
,0.001,920,,
8,,1034,,0.291614294052124
8,,1034,0.2634390592575073,
,0.001,1035,,
9,,1149,,0.2789138853549957
9,,1149,0.25193077325820923,
,0.001,1150,,
10,,1264,,0.24214260280132294
10,,1264,0.25492924451828003,
,0.001,1265,,
11,,1379,,0.2540903389453888
11,,1379,0.2465900182723999,
,0.001,1380,,
12,,1494,,0.2503686845302582
12,,1494,0.2524092495441437,
,0.001,1495,,
13,,1609,,0.2227015346288681
13,,1609,0.24616628885269165,
,0.001,1610,,
14,,1724,,0.23403459787368774
14,,1724,0.24210987985134125,
,0.001,1725,,
15,,1839,,0.221420556306839
15,,1839,0.23672491312026978,
,0.001,1840,,
16,,1954,,0.22708091139793396
16,,1954,0.23899218440055847,
,0.001,1955,,
17,,2069,,0.22203126549720764
17,,2069,0.23763184249401093,
,0.001,2070,,
18,,2184,,0.25029560923576355
18,,2184,0.23615522682666779,
,0.001,2185,,
19,,2299,,0.2159767597913742
19,,2299,0.23542338609695435,
,0.001,2300,,
20,,2414,,0.21440944075584412
20,,2414,0.23440216481685638,
,0.001,2415,,
21,,2529,,0.22643570601940155
21,,2529,0.2269608974456787,
,0.001,2530,,
22,,2644,,0.22413717210292816
22,,2644,0.23300866782665253,
,0.001,2645,,
23,,2759,,0.21715039014816284
23,,2759,0.22908329963684082,
,0.001,2760,,
24,,2874,,0.2180488109588623
24,,2874,0.23052096366882324,
,0.0005,2875,,
25,,2989,,0.20286881923675537
25,,2989,0.21961411833763123,
,0.0005,2990,,
26,,3104,,0.20642933249473572
26,,3104,0.2188536822795868,
,0.0005,3105,,
27,,3219,,0.21052777767181396
27,,3219,0.2201145887374878,
,0.0005,3220,,
28,,3334,,0.21137337386608124
28,,3334,0.22028467059135437,
,0.0005,3335,,
29,,3449,,0.20307967066764832
29,,3449,0.21691863238811493,
,0.00025,3450,,
30,,3564,,0.19807817041873932
30,,3564,0.21392132341861725,
,0.00025,3565,,
31,,3679,,0.1890857070684433
31,,3679,0.21140743792057037,
,0.00025,3680,,
32,,3794,,0.19672609865665436
32,,3794,0.21034498512744904,
,0.00025,3795,,
33,,3909,,0.19311270117759705
33,,3909,0.21166542172431946,
,0.00025,3910,,
34,,4024,,0.193290576338768
34,,4024,0.20922277867794037,
,0.00025,4025,,
35,,4139,,0.18720246851444244
35,,4139,0.2110501378774643,
,0.00025,4140,,
36,,4254,,0.19739092886447906
36,,4254,0.2094242125749588,
,0.00025,4255,,
37,,4369,,0.18749243021011353
37,,4369,0.20237743854522705,
,0.00025,4370,,
38,,4484,,0.1967061460018158
38,,4484,0.2051972597837448,
,0.00025,4485,,
39,,4599,,0.1993705779314041
39,,4599,0.21089087426662445,
,0.000125,4600,,
40,,4714,,0.18416506052017212
40,,4714,0.2026747167110443,
,0.000125,4715,,
41,,4829,,0.19156935811042786
41,,4829,0.20618706941604614,
,0.000125,4830,,
42,,4944,,0.18463337421417236
42,,4944,0.20479397475719452,
,0.000125,4945,,
43,,5059,,0.19635802507400513
43,,5059,0.20377865433692932,
,0.000125,5060,,
44,,5174,,0.18248450756072998
44,,5174,0.2014801800251007,
,0.000125,5175,,
45,,5289,,0.18297894299030304
45,,5289,0.20454619824886322,
,0.000125,5290,,
46,,5404,,0.18180079758167267
46,,5404,0.20178060233592987,
,0.000125,5405,,
47,,5519,,0.18624021112918854
47,,5519,0.20041032135486603,
,0.000125,5520,,
48,,5634,,0.19132161140441895
48,,5634,0.20062141120433807,
,0.000125,5635,,
49,,5749,,0.18325570225715637
49,,5749,0.20040862262248993,
